,Char,Team,Batting Pos.,Hits,At Bats,Singles,Doubles,Triples,Homeruns,Total Bases,RBIs,Walks Taken,Sac Flys,Plate Appearances,Steals,Runs,Big Plays,IP,Earned Runs,K's,Walks Pitched,Hits Allowed,Wins,Pitches,Star Pitches
0,Paratroopa(G) 1,Buffcat,0,2,4,1,1,0,0,3,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
1,DK 1,Buffcat,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4.333333,8,4,0,14,0,55,0
2,Shy Guy(B) 1,Buffcat,2,2,4,2,0,0,0,2,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
3,DK 2,Buffcat,3,2,3,1,0,0,1,5,3,0,0,3,0,2,1,0.0,0,0,0,0,0,0,0
4,Birdo 1,Buffcat,4,3,3,2,1,0,0,4,0,0,0,3,0,0,2,0.0,0,0,0,0,0,0,0
5,Shy Guy(Y) 1,Buffcat,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
6,Luigi 1,Buffcat,6,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
7,Paratroopa(R) 1,Buffcat,7,1,3,1,0,0,0,1,1,0,0,3,0,0,0,1.666667,3,0,0,3,0,15,0
8,Diddy 1,Buffcat,8,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
9,Noki(G) 1,Hellzhero,0,2,4,2,0,0,0,2,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
10,Bro(B) 1,Hellzhero,1,2,4,2,0,0,0,2,0,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
11,Magikoopa(R) 1,Hellzhero,2,4,4,4,0,0,0,4,2,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
12,Peach 1,Hellzhero,3,4,4,3,0,0,1,7,3,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
13,Daisy 1,Hellzhero,4,1,4,1,0,0,0,1,1,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
14,Daisy 2,Hellzhero,5,1,4,1,0,0,0,1,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
15,Toadette 1,Hellzhero,6,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
16,Koopa(R) 1,Hellzhero,7,1,3,0,0,0,1,4,4,0,0,3,0,1,0,6.666667,4,11,0,11,0,99,0
17,Baby Mario 1,Hellzhero,8,2,3,2,0,0,0,2,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
18,Dry Bones(G) 1,Bmills,0,2,4,2,0,0,0,2,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
19,Bowser 1,Bmills,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
20,Magikoopa(Y) 1,Bmills,2,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
21,Boo 1,Bmills,3,0,3,0,0,0,0,0,0,0,0,3,0,0,1,6.0,6,2,1,13,0,43,0
22,Wario 1,Bmills,4,3,3,2,0,0,1,6,1,0,0,3,0,2,1,0.0,0,0,0,0,0,0,0
23,Wario 2,Bmills,5,1,3,1,0,0,0,1,0,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
24,Noki(B) 1,Bmills,6,1,3,1,0,0,0,1,0,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
25,Pianta(Y) 1,Bmills,7,1,3,1,0,0,0,1,1,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
26,Bowser Jr 1,Bmills,8,1,3,1,0,0,0,1,2,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
27,Paratroopa(G) 1,Baltor33,0,4,4,4,0,0,0,4,0,0,0,4,0,2,1,0.0,0,0,0,0,0,0,0
28,Bowser 1,Baltor33,1,3,4,1,0,0,2,9,4,0,0,4,0,2,1,0.0,0,0,0,0,0,0,0
29,Bro(H) 1,Baltor33,2,1,4,1,0,0,0,1,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
30,Waluigi 1,Baltor33,3,2,3,2,0,0,0,2,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
31,Luigi 1,Baltor33,4,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0.0,0,0,0,0,0,0,0
32,Monty 1,Baltor33,5,1,2,1,0,0,0,1,0,1,0,3,0,0,0,0.0,0,0,0,0,0,0,0
33,Shy Guy(R) 1,Baltor33,6,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0.0,0,0,0,0,0,0,0
34,Dry Bones(G) 1,Baltor33,7,1,3,1,0,0,0,1,0,0,0,3,0,1,0,6.666667,4,1,0,9,0,40,1
35,Dry Bones(R) 1,Baltor33,8,1,3,0,0,0,1,4,2,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
36,Dry Bones(G) 1,Bmills,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
37,Bowser 1,Bmills,1,1,3,1,0,0,0,1,0,0,0,3,0,1,0,4.333333,0,0,1,4,0,35,0
38,Magikoopa(Y) 1,Bmills,2,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
39,Boo 1,Bmills,3,1,3,1,0,0,0,1,0,0,0,3,0,1,0,1.666667,8,2,1,9,0,31,0
40,Wario 1,Bmills,4,1,3,1,0,0,0,1,0,0,0,3,0,0,2,0.0,0,0,0,0,0,0,0
41,Wario 2,Bmills,5,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
42,Noki(B) 1,Bmills,6,3,3,3,0,0,0,3,1,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
43,Pianta(Y) 1,Bmills,7,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
44,Bowser Jr 1,Bmills,8,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
45,Dry Bones(G) 1,Cezarito,0,2,4,1,1,0,0,3,0,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
46,Bowser 1,Cezarito,1,3,4,1,0,0,2,9,5,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
47,Bowser Jr 1,Cezarito,2,1,4,0,0,0,1,4,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
48,Magikoopa(G) 1,Cezarito,3,1,4,1,0,0,0,1,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
49,Bowser Jr 2,Cezarito,4,1,4,0,0,0,1,4,2,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
50,Birdo 1,Cezarito,5,2,3,1,1,0,0,3,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
51,Petey 1,Cezarito,6,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0.0,0,0,0,0,0,0,0
52,Petey 2,Cezarito,7,1,2,1,0,0,0,1,0,1,0,3,0,1,0,0.0,0,0,0,0,0,0,0
53,Paragoomba 1,Cezarito,8,2,3,2,0,0,0,2,0,0,0,3,0,1,0,7.0,1,10,0,6,0,90,3
54,Paratroopa(G) 1,Buffcat,0,3,4,3,0,0,0,3,0,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
55,DK 1,Buffcat,1,1,4,0,0,0,1,4,2,0,0,4,0,1,0,3.666667,8,1,0,11,0,66,0
56,Birdo 1,Buffcat,2,1,4,0,1,0,0,2,0,0,0,4,0,0,2,0.0,0,0,0,0,0,0,0
57,Shy Guy(B) 1,Buffcat,3,0,2,0,0,0,0,0,1,0,1,3,0,0,0,0.0,0,0,0,0,0,0,0
58,DK 2,Buffcat,4,2,3,1,0,0,1,5,1,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
59,Luigi 1,Buffcat,5,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
60,Shy Guy(Y) 1,Buffcat,6,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
61,Paratroopa(R) 1,Buffcat,7,1,3,0,1,0,0,2,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
62,Diddy 1,Buffcat,8,1,3,1,0,0,0,1,0,0,0,3,0,0,0,2.333333,1,2,0,4,0,27,0
63,Waluigi 1,Super63,0,3,4,3,0,0,0,3,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
64,Noki(G) 1,Super63,1,4,4,4,0,0,0,4,2,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
65,King Boo 1,Super63,2,1,4,0,0,0,1,4,3,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
66,Birdo 1,Super63,3,0,4,0,0,0,0,0,0,0,0,4,0,0,3,0.0,0,0,0,0,0,0,0
67,Shy Guy(Bk) 1,Super63,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
68,Mario 1,Super63,5,1,3,1,0,0,0,1,0,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
69,Diddy 1,Super63,6,1,3,1,0,0,0,1,0,0,0,3,0,1,0,7.0,4,5,0,9,0,99,0
70,Dixie 1,Super63,7,2,3,1,1,0,0,3,0,0,0,3,0,2,0,0.0,0,0,0,0,0,0,0
71,Toad(P) 1,Super63,8,3,3,2,0,0,1,6,3,0,0,3,0,2,0,0.0,0,0,0,0,0,0,0
72,Dry Bones(G) 1,Bmills,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
73,Bowser 1,Bmills,1,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
74,Magikoopa(Y) 1,Bmills,2,1,3,1,0,0,0,1,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
75,Boo 1,Bmills,3,1,3,0,1,0,0,2,1,0,0,3,0,0,0,6.0,2,4,1,8,0,60,0
76,Wario 1,Bmills,4,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0.0,0,0,0,0,0,0,0
77,Wario 2,Bmills,5,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
78,Noki(B) 1,Bmills,6,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0,0,0,0,0,0,0
79,Pianta(Y) 1,Bmills,7,1,2,1,0,0,0,1,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
80,Bowser Jr 1,Bmills,8,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
81,Noki(G) 1,Hellzhero,0,1,3,0,1,0,0,2,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
82,Magikoopa(R) 1,Hellzhero,1,3,3,3,0,0,0,3,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
83,Bro(B) 1,Hellzhero,2,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0.0,0,0,0,0,0,0,0
84,Toadette 1,Hellzhero,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
85,Peach 1,Hellzhero,4,1,3,1,0,0,0,1,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
86,Daisy 1,Hellzhero,5,2,3,1,0,0,1,5,2,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
87,Daisy 2,Hellzhero,6,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
88,Koopa(R) 1,Hellzhero,7,0,3,0,0,0,0,0,0,0,0,3,0,0,0,6.666667,1,9,0,3,0,79,0
89,Baby Mario 1,Hellzhero,8,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
90,Paratroopa(G) 1,Baltor33,0,1,3,1,0,0,0,1,0,2,0,5,0,3,0,0.0,0,0,0,0,0,0,0
91,Bowser 1,Baltor33,1,3,5,2,1,0,0,4,1,0,0,5,0,1,1,0.0,0,0,0,0,0,0,0
92,Bro(H) 1,Baltor33,2,2,3,0,0,1,1,7,3,2,0,5,0,3,0,2.0,1,1,1,2,1,15,2
93,Luigi 1,Baltor33,3,1,5,1,0,0,0,1,1,0,0,5,0,1,1,0.0,0,0,0,0,0,0,0
94,Waluigi 1,Baltor33,4,1,4,1,0,0,0,1,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
95,Monty 1,Baltor33,5,1,3,0,1,0,0,2,3,1,0,4,0,2,0,0.0,0,0,0,0,0,0,0
96,Shy Guy(R) 1,Baltor33,6,4,4,1,3,0,0,7,2,0,0,4,0,2,0,4.666667,7,3,0,12,0,37,0
97,Dry Bones(G) 1,Baltor33,7,3,4,3,0,0,0,3,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
98,Dry Bones(R) 1,Baltor33,8,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
99,DK 1,Dr. Winkly,0,3,4,1,2,0,0,5,1,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
100,Bro(H) 1,Dr. Winkly,1,2,4,0,1,0,1,6,2,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
101,Yoshi 1,Dr. Winkly,2,1,4,1,0,0,0,1,0,0,0,4,0,0,1,4.0,7,1,3,10,0,44,2
102,Yoshi 2,Dr. Winkly,3,1,4,0,0,1,0,3,0,0,0,4,0,1,2,0.0,0,0,0,0,0,0,0
103,Birdo 1,Dr. Winkly,4,3,4,1,2,0,0,5,2,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
104,Shy Guy(R) 1,Dr. Winkly,5,1,3,0,1,0,0,2,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
105,Koopa(G) 1,Dr. Winkly,6,2,3,2,0,0,0,2,2,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
106,Diddy 1,Dr. Winkly,7,1,2,0,0,1,0,3,1,1,0,3,0,1,0,0.0,0,0,0,0,0,0,0
107,Dixie 1,Dr. Winkly,8,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3.0,5,0,2,6,0,25,0
108,Dry Bones(G) 1,Bmills,0,2,4,2,0,0,0,2,0,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
109,Bowser 1,Bmills,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
110,Magikoopa(Y) 1,Bmills,2,2,4,1,1,0,0,3,1,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
111,Boo 1,Bmills,3,2,4,1,0,0,1,5,2,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
112,Wario 1,Bmills,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
113,Wario 2,Bmills,5,1,3,0,0,0,1,4,1,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
114,Noki(B) 1,Bmills,6,2,3,2,0,0,0,2,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
115,Pianta(Y) 1,Bmills,7,1,3,1,0,0,0,1,0,0,0,3,0,0,0,7.0,2,4,1,11,1,67,0
116,Bowser Jr 1,Bmills,8,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
117,Waluigi 1,Super63,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
118,Noki(G) 1,Super63,1,2,4,2,0,0,0,2,0,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
119,King Boo 1,Super63,2,3,4,1,2,0,0,5,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
120,Birdo 1,Super63,3,3,3,2,1,0,0,4,2,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
121,Shy Guy(Bk) 1,Super63,4,0,2,0,0,0,0,0,0,1,0,3,0,0,1,0.0,0,0,0,0,0,0,0
122,Mario 1,Super63,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
123,Diddy 1,Super63,6,2,3,2,0,0,0,2,0,0,0,3,0,0,0,7.0,4,5,0,10,0,74,0
124,Dixie 1,Super63,7,1,3,1,0,0,0,1,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
125,Toad(P) 1,Super63,8,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
126,Paratroopa(G) 1,BennyOkay,0,2,3,2,0,0,0,2,1,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
127,Boo 1,BennyOkay,1,1,3,1,0,0,0,1,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
128,King Boo 1,BennyOkay,2,3,3,1,1,0,1,7,2,0,0,3,0,1,0,1.333333,6,2,0,8,0,27,0
129,Noki(G) 1,BennyOkay,3,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
130,Pianta(R) 1,BennyOkay,4,1,2,0,1,0,0,2,1,1,0,3,0,0,0,0.0,0,0,0,0,0,0,0
131,Noki(R) 1,BennyOkay,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,1,0,0,1,0,1,0
132,Dry Bones(Gy) 1,BennyOkay,6,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
133,Baby Luigi 1,BennyOkay,7,2,2,2,0,0,0,2,0,0,0,2,0,2,0,0.0,0,0,0,0,0,0,0
134,Goomba 1,BennyOkay,8,2,2,1,0,1,0,4,1,0,0,2,0,0,0,3.333333,8,0,1,9,0,29,0
135,Mario 1,MattGree,0,2,4,2,0,0,0,2,2,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
136,Bowser 1,MattGree,1,2,4,1,0,0,1,5,1,0,0,4,0,1,0,5.0,5,1,1,11,0,56,0
137,Magikoopa(Y) 1,MattGree,2,4,4,2,0,0,2,10,6,0,0,4,0,2,1,0.0,0,0,0,0,0,0,0
138,Bowser Jr 1,MattGree,3,1,4,0,0,0,1,4,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
139,Bro(F) 1,MattGree,4,1,3,1,0,0,0,1,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
140,Toad(R) 1,MattGree,5,2,2,0,0,0,2,8,3,1,0,3,0,3,0,0.0,0,0,0,0,0,0,0
141,Noki(B) 1,MattGree,6,2,3,2,0,0,0,2,0,0,0,3,0,2,0,0.0,0,0,0,0,0,0,0
142,Baby Mario 1,MattGree,7,2,3,1,1,0,0,3,1,0,0,3,0,2,0,0.0,0,0,0,0,0,0,0
143,Waluigi 1,MattGree,8,2,2,2,0,0,0,2,1,0,1,3,0,1,0,0.0,0,0,0,0,0,0,0
144,Toad(P) 1,Flatbread,0,1,4,0,0,0,1,4,3,0,0,4,0,1,0,7.0,1,6,1,7,1,54,1
145,Pianta(B) 1,Flatbread,1,1,4,1,0,0,0,1,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
146,Pianta(Y) 1,Flatbread,2,2,4,2,0,0,0,2,0,0,0,4,0,2,3,0.0,0,0,0,0,0,0,0
147,Magikoopa(B) 1,Flatbread,3,1,4,0,1,0,0,2,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
148,Magikoopa(G) 1,Flatbread,4,1,4,1,0,0,0,1,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
149,Bowser Jr 1,Flatbread,5,1,3,0,0,0,1,4,3,0,0,3,0,1,2,0.0,0,0,0,0,0,0,0
150,Dry Bones(B) 1,Flatbread,6,1,3,1,0,0,0,1,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
151,Luigi 1,Flatbread,7,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
152,Toadette 1,Flatbread,8,2,3,1,1,0,0,3,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
153,Mario 1,MattGree,0,1,3,1,0,0,0,1,0,1,0,4,0,0,0,0.0,0,0,0,0,0,0,0
154,Bowser 1,MattGree,1,1,3,0,0,0,1,4,1,0,0,3,0,1,0,3.333333,7,3,0,9,0,32,0
155,Magikoopa(Y) 1,MattGree,2,2,3,2,0,0,0,2,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
156,Bowser Jr 1,MattGree,3,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
157,Bro(F) 1,MattGree,4,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
158,Noki(B) 1,MattGree,5,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
159,Toad(R) 1,MattGree,6,1,3,0,1,0,0,2,0,0,0,3,0,1,0,3.666667,0,3,0,2,0,32,0
160,Toad(B) 1,MattGree,7,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
161,Waluigi 1,MattGree,8,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
162,Noki(G) 1,Vickless,0,2,3,2,0,0,0,2,1,1,0,4,0,0,0,0.0,0,0,0,0,0,0,0
163,Yoshi 1,Vickless,1,2,4,2,0,0,0,2,1,0,0,4,0,0,1,0.0,0,0,0,0,0,0,0
164,Petey 1,Vickless,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,1,0,0,1,0,2,0
165,Mario 1,Vickless,3,1,4,0,1,0,0,2,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
166,Luigi 1,Vickless,4,1,4,1,0,0,0,1,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
167,Daisy 1,Vickless,5,2,4,1,1,0,0,3,1,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
168,Luigi 2,Vickless,6,1,4,0,0,0,1,4,1,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
169,Paratroopa(G) 1,Vickless,7,3,3,3,0,0,0,3,0,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
170,Koopa(R) 1,Vickless,8,1,3,1,0,0,0,1,0,0,0,3,0,1,0,6.666667,5,2,3,11,0,108,0
171,Paratroopa(G) 1,BennyOkay,0,2,4,2,0,0,0,2,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
172,Toadsworth 1,BennyOkay,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
173,King Boo 1,BennyOkay,2,1,2,1,0,0,0,1,0,2,0,4,0,1,0,4.0,3,6,1,9,0,58,1
174,Boo 1,BennyOkay,3,1,4,0,0,0,1,4,2,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
175,Noki(R) 1,BennyOkay,4,2,4,2,0,0,0,2,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
176,Pianta(R) 1,BennyOkay,5,1,3,0,0,0,1,4,1,1,0,4,0,2,0,0.0,0,0,0,0,0,0,0
177,Dry Bones(Gy) 1,BennyOkay,6,1,4,0,0,0,1,4,3,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
178,Goomba 1,BennyOkay,7,3,3,3,0,0,0,3,0,0,0,3,0,0,0,3.0,1,3,0,4,0,34,0
179,Baby Luigi 1,BennyOkay,8,1,3,1,0,0,0,1,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
180,Paratroopa(G) 1,Buffcat,0,2,4,2,0,0,0,2,0,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
181,DK 1,Buffcat,1,1,4,1,0,0,0,1,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
182,Birdo 1,Buffcat,2,2,3,1,0,0,1,5,3,0,1,4,0,1,0,0.0,0,0,0,0,0,0,0
183,Shy Guy(B) 1,Buffcat,3,1,4,1,0,0,0,1,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
184,DK 2,Buffcat,4,1,4,0,0,0,1,4,1,0,0,4,0,1,0,3.333333,7,0,0,11,0,62,0
185,Luigi 1,Buffcat,5,1,4,0,0,0,1,4,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
186,Shy Guy(Y) 1,Buffcat,6,2,3,1,0,0,1,5,1,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
187,Diddy 1,Buffcat,7,1,3,1,0,0,0,1,0,0,0,3,0,0,1,2.666667,3,0,0,4,0,27,0
188,Paratroopa(R) 1,Buffcat,8,2,3,2,0,0,0,2,0,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
189,Paratroopa(G) 1,BennyOkay,0,4,4,4,0,0,0,4,1,0,0,4,0,4,0,0.0,0,0,0,0,0,0,0
190,King Boo 1,BennyOkay,1,4,4,1,0,0,3,13,7,0,0,4,0,3,0,5.0,4,6,0,7,0,56,0
191,Boo 1,BennyOkay,2,2,3,0,1,0,1,6,2,0,1,4,0,1,0,0.0,0,0,0,0,0,0,0
192,Noki(R) 1,BennyOkay,3,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
193,Pianta(R) 1,BennyOkay,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
194,Toadsworth 1,BennyOkay,5,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
195,Dry Bones(Gy) 1,BennyOkay,6,3,3,3,0,0,0,3,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
196,Goomba 1,BennyOkay,7,2,3,2,0,0,0,2,0,0,0,3,0,1,0,2.0,2,2,0,6,0,27,0
197,Baby Luigi 1,BennyOkay,8,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
198,Magikoopa(B) 1,Balamb,0,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
199,Boo 1,Balamb,1,1,3,1,0,0,0,1,0,0,0,3,0,1,0,6.0,1,5,0,7,0,52,0
200,Magikoopa(R) 1,Balamb,2,2,2,2,0,0,0,2,0,1,0,3,0,0,0,0.0,0,0,0,0,0,0,0
201,Wario 1,Balamb,3,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0.0,0,0,0,0,0,0,0
202,Wario 2,Balamb,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
203,Daisy 1,Balamb,5,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0.0,0,0,0,0,0,0,0
204,Daisy 2,Balamb,6,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
205,Daisy 3,Balamb,7,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
206,Bowser Jr 1,Balamb,8,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
207,Noki(G) 1,Vickless,0,3,3,3,0,0,0,3,0,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
208,Petey 1,Vickless,1,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
209,Mario 1,Vickless,2,1,3,0,1,0,0,2,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
210,Luigi 1,Vickless,3,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
211,Daisy 1,Vickless,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
212,Paratroopa(G) 1,Vickless,5,1,3,1,0,0,0,1,0,0,0,3,0,0,0,6.666667,0,6,2,4,0,86,0
213,Yoshi 1,Vickless,6,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
