,Char,Team,Batting Pos.,Hits,At Bats,Singles,Doubles,Triples,Homeruns,Total Bases,RBIs,Walks Taken,Sac Flys,Plate Appearances,Steals,Runs,Big Plays,IP,Earned Runs,K's,Walks Pitched,Hits Allowed,Wins,Pitches,Star Pitches
2484,DK 1,Dr. Winkly,0,1,4,1,0,0,0,1,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
2485,Bro(H) 1,Dr. Winkly,1,3,4,2,0,0,1,6,2,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
2486,Pianta(B) 1,Dr. Winkly,2,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
2487,Yoshi 1,Dr. Winkly,3,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0.0,0,0,0,0,0,0,0
2488,Yoshi 2,Dr. Winkly,4,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
2489,Koopa(G) 1,Dr. Winkly,5,1,3,1,0,0,0,1,0,0,0,3,0,0,0,2.0,2,2,0,3,0,21,0
2490,Diddy 1,Dr. Winkly,6,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
2491,Diddy 2,Dr. Winkly,7,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
2492,Dixie 1,Dr. Winkly,8,1,3,1,0,0,0,1,0,0,0,3,0,1,0,4.0,7,2,0,11,0,46,0
2493,Dry Bones(G) 1,Clutch1908,0,2,4,2,0,0,0,2,2,0,0,4,0,0,1,0.0,0,0,0,0,0,0,0
2494,Bro(B) 1,Clutch1908,1,2,4,0,2,0,0,4,1,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
2495,Luigi 1,Clutch1908,2,2,3,2,0,0,0,2,2,0,1,4,0,0,0,0.0,0,0,0,0,0,0,0
2496,Toadette 1,Clutch1908,3,0,3,0,0,0,0,0,1,0,1,4,0,0,0,0.0,0,0,0,0,0,0,0
2497,Toadsworth 1,Clutch1908,4,2,3,2,0,0,0,2,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
2498,Toad(G) 1,Clutch1908,5,2,3,0,0,0,2,8,3,0,0,3,0,2,0,0.0,0,0,0,0,0,0,0
2499,Peach 1,Clutch1908,6,1,3,1,0,0,0,1,0,0,0,3,0,1,0,7.0,2,18,0,8,0,102,0
2500,Wario 1,Clutch1908,7,2,3,0,2,0,0,4,0,0,0,3,0,2,0,0.0,0,0,0,0,0,0,0
2501,Waluigi 1,Clutch1908,8,1,3,1,0,0,0,1,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
2502,Noki(G) 1,Vickless,0,2,2,2,0,0,0,2,1,0,0,2,0,2,0,0.0,0,0,0,0,0,0,0
2503,Petey 1,Vickless,1,1,3,1,0,0,0,1,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
2504,Mario 1,Vickless,2,2,3,1,0,0,1,5,1,0,0,3,0,2,0,0.0,0,0,0,0,0,0,0
2505,Luigi 1,Vickless,3,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
2506,Daisy 1,Vickless,4,2,3,1,1,0,0,3,1,0,0,3,0,2,0,0.0,0,0,0,0,0,0,0
2507,Paratroopa(G) 1,Vickless,5,3,3,3,0,0,0,3,1,0,0,3,0,3,0,0.0,0,0,0,0,0,0,0
2508,Koopa(R) 1,Vickless,6,2,3,1,0,0,1,5,3,0,0,3,0,2,0,4.0,0,5,0,3,1,50,0
2509,Yoshi 1,Vickless,7,1,3,0,0,1,0,3,2,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
2510,Birdo 1,Vickless,8,1,2,1,0,0,0,1,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
2511,Mario 1,Faceman,0,1,2,1,0,0,0,1,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
2512,Bro(F) 1,Faceman,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
2513,Noki(R) 1,Faceman,2,1,2,1,0,0,0,1,0,0,0,2,0,0,0,0.333333,2,1,0,2,0,7,0
2514,Pianta(R) 1,Faceman,3,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0,0,0,0,0,0,0
2515,Toadsworth 1,Faceman,4,1,2,1,0,0,0,1,0,0,0,2,0,0,0,3.666667,9,5,0,12,0,61,0
2516,Peach 1,Faceman,5,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
2517,Toad(G) 1,Faceman,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
2518,Toadette 1,Faceman,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
2519,Yoshi 1,Faceman,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0
2520,Paratroopa(G) 1,Buffcat,0,2,4,2,0,0,0,2,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
2521,DK 1,Buffcat,1,1,4,0,0,0,1,4,3,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
2522,Birdo 1,Buffcat,2,1,4,0,1,0,0,2,0,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
2523,Shy Guy(B) 1,Buffcat,3,2,3,0,1,0,1,6,2,1,0,4,0,3,0,0.0,0,0,0,0,0,0,0
2524,DK 2,Buffcat,4,4,4,3,0,0,1,7,2,0,0,4,0,3,1,5.0,7,3,1,14,0,59,0
2525,Luigi 1,Buffcat,5,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
2526,Shy Guy(Y) 1,Buffcat,6,1,4,1,0,0,0,1,1,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
